Hour,Clicks,Impressions,Avg. CPC,Cost
00 - 01,0,0,₹0.00,₹0.00
01 - 02,0,0,₹0.00,₹0.00
02 - 03,0,0,₹0.00,₹0.00
03 - 04,0,0,₹0.00,₹0.00
04 - 05,0,0,₹0.00,₹0.00
05 - 06,0,0,₹0.00,₹0.00
06 - 07,0,0,₹0.00,₹0.00
07 - 08,0,0,₹0.00,₹0.00
08 - 09,0,0,₹0.00,₹0.00
09 - 10,0,15,₹0.00,₹0.00
10 - 11,0,16,₹0.00,₹0.00
11 - 12,0,14,₹0.00,₹0.00
12 - 13,1,24,₹37.61,₹37.61
13 - 14,0,12,₹0.00,₹0.00
14 - 15,0,16,₹0.00,₹0.00
15 - 16,1,6,₹35.80,₹35.80
16 - 17,0,0,₹0.00,₹0.00
17 - 18,0,0,₹0.00,₹0.00
18 - 19,0,0,₹0.00,₹0.00
19 - 20,0,0,₹0.00,₹0.00
20 - 21,0,0,₹0.00,₹0.00
21 - 22,0,0,₹0.00,₹0.00
22 - 23,0,0,₹0.00,₹0.00
23 - 00,0,0,₹0.00,₹0.00
