Hour,Clicks,Impressions,Avg. CPC,Cost
00 - 01,0,1,₹0.00,₹0.00
01 - 02,0,0,₹0.00,₹0.00
02 - 03,0,0,₹0.00,₹0.00
03 - 04,0,0,₹0.00,₹0.00
04 - 05,0,0,₹0.00,₹0.00
05 - 06,0,1,₹0.00,₹0.00
06 - 07,0,1,₹0.00,₹0.00
07 - 08,0,0,₹0.00,₹0.00
08 - 09,0,2,₹0.00,₹0.00
09 - 10,1,8,₹35.19,₹35.19
10 - 11,1,4,₹36.11,₹36.11
11 - 12,0,10,₹0.00,₹0.00
12 - 13,0,5,₹0.00,₹0.00
13 - 14,0,2,₹0.00,₹0.00
14 - 15,0,0,₹0.00,₹0.00
15 - 16,0,0,₹0.00,₹0.00
16 - 17,0,0,₹0.00,₹0.00
17 - 18,0,0,₹0.00,₹0.00
18 - 19,0,0,₹0.00,₹0.00
19 - 20,0,0,₹0.00,₹0.00
20 - 21,0,0,₹0.00,₹0.00
21 - 22,0,0,₹0.00,₹0.00
22 - 23,0,0,₹0.00,₹0.00
23 - 00,0,0,₹0.00,₹0.00
