Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
legal workflow automation,Phrase match,Enabled,Enabled,Enabled,₹553.26,10,8.20%
ai software for law firms,Exact match,Enabled,Enabled,Enabled,₹89.57,2,11.11%
ai legal assistant,Exact match,Enabled,Enabled,Enabled,₹50.27,1,20.00%
legal ai,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
harvey ai alternatives,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
corporate law firm software,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
contract review software word,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
claude pro for law firms,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
legal document automation software enterprise,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
legora alternatives,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
law firm case management system,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
law firm matter management software,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
enterprise legal case management software,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
law firm workflow automation tool,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
legal workflow automation software,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
ai paralegal software,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
ai legal assistant for law firms,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
legal document automation software enterprise,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
autonomous legal assistant software,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
legal AI workflow automation,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
ai contract review software for law firms,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
ai paralegal software for law firms,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
